"";"document";"art, creativ, technologi, project, develop";"child, read, activ, text, electron";"cultur, museum, commun, inform, histor";"design, method, review, system, valu";"digit, media, narr, literaci, practic";"game, plai, mmo, examin, analys";"game, plai, violent, aggress, behavior";"internet, addict, adolesc, gender, femal";"learn, educ, design, develop, environ";"mobil, technologi, peopl, young, live";"model, influenc, blog, factor, perceiv";"motiv, engag, gamif, element, experi";"music, interact, user, system, experi";"onlin, social, commun, ident, offlin";"perform, cognit, particip, experi, task";"problem, associ, person, predict, posit, emot";"social, media, sns, network, facebook";"student, teach, school, educ, classroom";"video, imag, content, visual, analys";"virtual, avatar, world, experi, environ";"topic";"doc_id";"apa"
"1";"2-s2.0-0003176667";0,00793650793650794;0,119047619047619;0,00793650793650794;0,261904761904762;0,0238095238095238;0,0238095238095238;0,0238095238095238;0,00793650793650794;0,182539682539683;0,00793650793650794;0,00793650793650794;0,00793650793650794;0,00793650793650794;0,00793650793650794;0,0396825396825397;0,0714285714285714;0,0238095238095238;0,00793650793650794;0,150793650793651;0,00793650793650794;"design, method, review, system, valu";"2-s2.0-0003176667";"Landoni M., Gibb F.(2000). The role of visual rhetoric in the design and production of electronic books: The visual book. Electronic Library"
"2";"2-s2.0-0007293638";0,0555555555555556;0,00617283950617284;0,0679012345679012;0,0555555555555556;0,00617283950617284;0,00617283950617284;0,00617283950617284;0,0185185185185185;0,0185185185185185;0,0185185185185185;0,0185185185185185;0,0679012345679012;0,00617283950617284;0,00617283950617284;0,203703703703704;0,0185185185185185;0,00617283950617284;0,104938271604938;0,0432098765432099;0,265432098765432;"virtual, avatar, world, experi, environ";"2-s2.0-0007293638";"Antonietti A., Cantoia M.(2000). To see a painting versus to walk in a painting: An experiment on sense-making through virtual reality. Computers and Education"
"3";"2-s2.0-0011795313";0,0138888888888889;0,458333333333333;0,0138888888888889;0,0138888888888889;0,0138888888888889;0,0138888888888889;0,0416666666666667;0,0138888888888889;0,0138888888888889;0,0416666666666667;0,0416666666666667;0,0138888888888889;0,0416666666666667;0,0416666666666667;0,0416666666666667;0,0416666666666667;0,0138888888888889;0,0138888888888889;0,0972222222222222;0,0138888888888889;"child, read, activ, text, electron";"2-s2.0-0011795313";"Miall D.S., Dobson T.(2001). Reading hypertext and the experience of literature. Journal of Digital Information"
"4";"2-s2.0-0032665412";0,473214285714286;0,00892857142857143;0,133928571428571;0,00892857142857143;0,00892857142857143;0,00892857142857143;0,00892857142857143;0,00892857142857143;0,00892857142857143;0,00892857142857143;0,00892857142857143;0,00892857142857143;0,0803571428571429;0,00892857142857143;0,00892857142857143;0,00892857142857143;0,00892857142857143;0,169642857142857;0,00892857142857143;0,00892857142857143;"art, creativ, technologi, project, develop";"2-s2.0-0032665412";"Mak B.L., Degennaro A.(1999). Computer graphics for art creation: Cultural biases against its acceptance in education. Computers and Graphics (Pergamon)"
"5";"2-s2.0-0034171141";0,00833333333333333;0,00833333333333333;0,00833333333333333;0,00833333333333333;0,00833333333333333;0,00833333333333333;0,541666666666667;0,0583333333333333;0,00833333333333333;0,00833333333333333;0,00833333333333333;0,00833333333333333;0,00833333333333333;0,00833333333333333;0,00833333333333333;0,141666666666667;0,00833333333333333;0,00833333333333333;0,0416666666666667;0,0916666666666667;"game, plai, violent, aggress, behavior";"2-s2.0-0034171141";"Anderson C.A., Dill K.E.(2000). Video games and aggressive thoughts, feelings, and behavior in the laboratory and in life. Journal of Personality and Social Psychology"
"6";"2-s2.0-0034551323";0,216417910447761;0,00746268656716418;0,126865671641791;0,00746268656716418;0,00746268656716418;0,00746268656716418;0,00746268656716418;0,0223880597014925;0,0223880597014925;0,00746268656716418;0,00746268656716418;0,0970149253731343;0,00746268656716418;0,0522388059701493;0,00746268656716418;0,0223880597014925;0,126865671641791;0,00746268656716418;0,186567164179104;0,0522388059701493;"art, creativ, technologi, project, develop";"2-s2.0-0034551323";"Kerr A.(2000). Media diversity and cultural identities: The development of multimedia 'content' in Ireland. New Media and Society"
"7";"2-s2.0-0035530148";0,330188679245283;0,00943396226415094;0,0283018867924528;0,00943396226415094;0,00943396226415094;0,00943396226415094;0,00943396226415094;0,0283018867924528;0,0471698113207547;0,00943396226415094;0,216981132075472;0,00943396226415094;0,00943396226415094;0,0283018867924528;0,00943396226415094;0,0849056603773585;0,00943396226415094;0,0849056603773585;0,0283018867924528;0,0283018867924528;"art, creativ, technologi, project, develop";"2-s2.0-0035530148";"Mak B.(2001). Learning art with computers - A LISREL model. Journal of Computer Assisted Learning"
"8";"2-s2.0-0035555740";0,1;0,211111111111111;0,0555555555555556;0,0111111111111111;0,0333333333333333;0,0111111111111111;0,0333333333333333;0,0111111111111111;0,0333333333333333;0,0111111111111111;0,0111111111111111;0,0111111111111111;0,1;0,0111111111111111;0,0555555555555556;0,0111111111111111;0,0111111111111111;0,0555555555555556;0,211111111111111;0,0111111111111111;"video, imag, content, visual, analys";"2-s2.0-0035555740";"Landoni M., Wilson R., Gibb F.(2001). Looking for guidelines for the production of electronic textbooks. Online Information Review"
"9";"2-s2.0-0036108424";0,0045045045045045;0,0765765765765766;0,0045045045045045;0,0135135135135135;0,0045045045045045;0,0045045045045045;0,364864864864865;0,0315315315315315;0,0045045045045045;0,0135135135135135;0,0225225225225225;0,0045045045045045;0,0045045045045045;0,0045045045045045;0,0045045045045045;0,400900900900901;0,0225225225225225;0,0045045045045045;0,0045045045045045;0,0045045045045045;"problem, associ, person, predict, posit, emot";"2-s2.0-0036108424";"Funk J.B., Hagan J., Schimming J., Bullock W.A., Buchman D.D., Myers M.(2002). Aggression and Psychopathology in Adolescents with a Preference for Violent Electronic Games. Aggressive Behavior"
"10";"2-s2.0-0036264351";0,01;0,01;0,01;0,05;0,01;0,03;0,67;0,01;0,01;0,01;0,01;0,01;0,05;0,01;0,03;0,01;0,01;0,03;0,01;0,01;"game, plai, violent, aggress, behavior";"2-s2.0-0036264351";"Bartholow B.D., Anderson C.A.(2002). Effects of violent video games on aggressive behavior: Potential sex differences. Journal of Experimental Social Psychology"
